#Original File is : C:\Optica\medicion Soar Sloan filters 29Dec 2004\BSDSSG0.OOI
#----------------------------------------------------------- 
#Channel: Slave        Spectrometer Type: S2000
#Spec Mode:  Transmission
#Wavelength	Intensity
  496.80	  91.764
  497.16	  91.869
  497.51	  91.925
  497.86	  91.959
  498.22	  91.951
  498.57	  92.090
  498.92	  92.115
  499.28	  92.108
  499.63	  91.979
  499.98	  91.773
  500.33	  92.009
  500.69	  91.963
  501.04	  92.171
  501.39	  92.053
  501.75	  92.213
  502.10	  92.040
  502.45	  92.082
  502.80	  92.004
  503.16	  92.078
  503.51	  91.930
  503.86	  91.774
  504.21	  91.704
  504.57	  91.776
  504.92	  91.791
  505.27	  91.946
  505.62	  91.826
  505.97	  91.943
  506.33	  91.839
  506.68	  91.839
  507.03	  91.599
  507.38	  91.585
  507.73	  91.573
  508.09	  91.832
  508.44	  91.613
  508.79	  91.460
  509.14	  91.423
  509.49	  91.584
  509.84	  91.690
  510.20	  91.531
  510.55	  91.486
  510.90	  91.325
  511.25	  91.219
  511.60	  91.307
  511.95	  91.458
  512.31	  91.617
  512.66	  91.589
  513.01	  91.809
  513.36	  91.891
  513.71	  91.871
  514.06	  91.679
  514.41	  91.569
  514.76	  91.987
  515.11	  92.347
  515.47	  92.548
  515.82	  92.204
  516.17	  91.992
  516.52	  92.023
  516.87	  92.069
  517.22	  92.274
  517.57	  92.386
  517.92	  92.236
  518.27	  91.926
  518.62	  91.544
  518.97	  91.872
  519.32	  91.831
  519.67	  91.939
  520.02	  91.724
  520.38	  91.639
  520.73	  91.028
  521.08	  90.494
  521.43	  90.349
  521.78	  90.350
  522.13	  90.290
  522.48	  89.815
  522.83	  89.755
  523.18	  89.411
  523.53	  88.937
  523.88	  87.931
  524.23	  87.225
  524.58	  86.552
  524.93	  86.339
  525.28	  85.562
  525.63	  85.146
  525.98	  84.657
  526.33	  84.380
  526.67	  83.779
  527.02	  83.223
  527.37	  82.723
  527.72	  82.236
  528.07	  81.784
  528.42	  81.371
  528.77	  81.289
  529.12	  80.842
  529.47	  80.741
  529.82	  80.435
  530.17	  80.434
  530.52	  80.132
  530.87	  80.110
  531.22	  80.063
  531.56	  80.007
  531.91	  80.158
  532.26	  80.554
  532.61	  81.002
  532.96	  81.556
  533.31	  82.015
  533.66	  82.501
  534.01	  83.016
  534.36	  83.316
  534.70	  83.425
  535.05	  83.113
  535.40	  82.463
  535.75	  81.864
  536.10	  80.624
  536.45	  79.159
  536.79	  76.831
  537.14	  74.040
  537.49	  70.438
  537.84	  66.658
  538.19	  62.320
  538.54	  58.040
  538.88	  53.365
  539.23	  48.782
  539.58	  44.292
  539.93	  39.983
  540.28	  35.695
  540.62	  31.530
  540.97	  27.838
  541.32	  24.562
  541.67	  21.581
  542.01	  18.938
  542.36	  16.522
  542.71	  14.511
  543.06	  12.743
  543.41	  11.284
  543.75	   9.944
  544.10	   8.584
  544.45	   7.486
  544.79	   6.490
  545.14	   5.722
  545.49	   5.227
  545.84	   4.660
  546.18	   4.210
  546.53	   3.576
  546.88	   3.231
  547.23	   2.834
  547.57	   2.585
  547.92	   2.389
  548.27	   2.129
  548.61	   1.821
  548.96	   1.606
  549.31	   1.418
  549.65	   1.538
  550.00	   1.335
  550.35	   1.313
  550.69	   1.081
  551.04	   1.069
  551.39	   1.061
  551.73	   0.964
  552.08	   0.803
  552.43	   0.630
  552.77	   0.556
  553.12	   0.592
  553.46	   0.585
  553.81	   0.647
  554.16	   0.596
  554.50	   0.554
  554.85	   0.402
  555.20	   0.363
  555.54	   0.297
  555.89	   0.319
  556.23	   0.349
  556.58	   0.403
  556.92	   0.464
  557.27	   0.480
  557.62	   0.479
  557.96	   0.465
  558.31	   0.474
  558.65	   0.460
  559.00	   0.449
  559.34	   0.352
  559.69	   0.325
  560.04	   0.374
  560.38	   0.385
  560.73	   0.389
  561.07	   0.344
  561.42	   0.325
  561.76	   0.270
  562.11	   0.272
  562.45	   0.259
  562.80	   0.222
  563.14	   0.000
